"Мощность на валу Time";"Мощность на валу ValueY";"Частота Time";"Частота ValueY";"Температура радиатора Time";"Температура радиатора ValueY";"Напряжение Time";"Напряжение ValueY";"Ток Time";"Ток ValueY"
25.05.2020 2:11:55;47,8899993896484;25.05.2020 2:11:55;46,1000022888184;25.05.2020 2:11:55;54;25.05.2020 2:11:55;530;25.05.2020 2:11:55;87,6899948120117
25.05.2020 2:12:55;47,5799980163574;25.05.2020 2:12:55;46,1000022888184;25.05.2020 2:12:55;54;25.05.2020 2:12:55;530;25.05.2020 2:12:55;87,2999954223633
25.05.2020 2:13:55;47,5200004577637;25.05.2020 2:13:55;46,1000022888184;25.05.2020 2:13:55;54;25.05.2020 2:13:55;531;25.05.2020 2:13:55;87,7599945068359
25.05.2020 2:14:55;47,5900001525879;25.05.2020 2:14:55;46,1000022888184;25.05.2020 2:14:55;54;25.05.2020 2:14:55;532;25.05.2020 2:14:55;87,4799957275391
25.05.2020 2:15:55;47,7899971008301;25.05.2020 2:15:55;46,1000022888184;25.05.2020 2:15:55;54;25.05.2020 2:15:55;532;25.05.2020 2:15:55;87,6199951171875
25.05.2020 2:16:55;47,8699989318848;25.05.2020 2:16:55;46,1000022888184;25.05.2020 2:16:55;55;25.05.2020 2:16:55;531;25.05.2020 2:16:55;87,4799957275391
25.05.2020 2:17:55;47,7199974060059;25.05.2020 2:17:55;46,1000022888184;25.05.2020 2:17:55;55;25.05.2020 2:17:55;532;25.05.2020 2:17:55;87,3399963378906
25.05.2020 2:18:55;47,8999977111816;25.05.2020 2:18:55;46,1000022888184;25.05.2020 2:18:55;55;25.05.2020 2:18:55;532;25.05.2020 2:18:55;87,129997253418
25.05.2020 2:19:55;47,8099975585938;25.05.2020 2:19:55;46,1000022888184;25.05.2020 2:19:55;55;25.05.2020 2:19:55;532;25.05.2020 2:19:55;87,1599960327148
25.05.2020 2:20:55;47,8400001525879;25.05.2020 2:20:55;46,1000022888184;25.05.2020 2:20:55;55;25.05.2020 2:20:55;532;25.05.2020 2:20:55;87,8300018310547
25.05.2020 2:21:55;47,6100006103516;25.05.2020 2:21:55;46,1000022888184;25.05.2020 2:21:55;54;25.05.2020 2:21:55;532;25.05.2020 2:21:55;87,1999969482422
25.05.2020 2:22:55;47,6699981689453;25.05.2020 2:22:55;46,1000022888184;25.05.2020 2:22:55;54;25.05.2020 2:22:55;532;25.05.2020 2:22:55;87,8300018310547
